e_a,qt_deleted,cluster
6,1,cluster2
28,1,cluster2
29,1,cluster2
45,1,cluster2
47,1,cluster2
51,1,cluster2
79,1,cluster2
119,1,cluster2
318,1,cluster1
324,1,cluster1
375,1,cluster1
433,1,cluster1
487,1,cluster1
496,1,cluster1
542,1,cluster1
608,1,cluster1
732,1,cluster1
903,1,cluster3
928,1,cluster3
957,1,cluster3
1009,1,cluster3
1034,1,cluster3
1042,1,cluster3
1051,1,cluster3
1061,1,cluster3
1065,1,cluster3
1069,1,cluster3
1082,1,cluster3
1084,1,cluster3
1087,1,cluster3
1121,1,cluster3
1127,1,cluster3
1171,1,cluster3
1174,1,cluster3
1175,1,cluster3
1176,1,cluster3
1188,1,cluster3
1190,1,cluster3
1203,1,cluster3
1205,1,cluster3
1208,1,cluster3
1212,1,cluster3
1214,1,cluster3
1219,1,cluster3
1221,1,cluster3
1222,1,cluster3
1224,1,cluster3
1232,1,cluster3
1252,1,cluster3
1273,1,cluster3
5,2,cluster2
27,2,cluster2
35,2,cluster2
67,2,cluster2
69,2,cluster2
113,2,cluster2
137,2,cluster2
272,2,cluster2
540,2,cluster1
1045,2,cluster3
1077,2,cluster3
1086,2,cluster3
1088,2,cluster3
1166,2,cluster3
1193,2,cluster3
1207,2,cluster3
1218,2,cluster3
1236,2,cluster3
34,3,cluster2
43,3,cluster2
232,3,cluster2
383,3,cluster1
437,3,cluster1
438,3,cluster1
707,3,cluster1
708,3,cluster1
889,3,cluster3
1037,3,cluster3
1173,3,cluster3
1239,3,cluster3
1253,3,cluster3
116,4,cluster2
134,4,cluster2
530,4,cluster1
902,4,cluster3
942,4,cluster3
7,5,cluster2
38,5,cluster2
61,5,cluster2
824,5,cluster3
901,5,cluster3
1070,5,cluster3
1215,5,cluster3
440,6,cluster1
37,7,cluster2
63,7,cluster2
436,7,cluster1
1192,7,cluster3
1226,7,cluster3
364,8,cluster1
442,8,cluster1
996,8,cluster3
1080,8,cluster3
25,9,cluster2
698,9,cluster1
939,9,cluster3
930,10,cluster3
998,17,cluster3
120,19,cluster2
36,21,cluster2
638,23,cluster1
441,44,cluster1
